Date,ASTRAL.BO,AXISBANK.BO,BAJFINANCE.BO,BEL.BO,BLUEDART.BO,CROMPTON.BO,DIVISLAB.BO,ESCORTS.BO,GAIL.BO,GLENMARK.NS,HDFC.BO,HDFCBANK.BO,ICICIBANK.BO,INFY.BO,KOTAKBANK.BO,LTTS.BO,PAGEIND.BO,RELIANCE.BO,SBIN.BO,TCS.BO,^BSESN
01-01-2018,666.7199707,564.8499756,1726.199951,181.6499939,4604.100098,270.8500061,1098.849976,774.5,187.4812927,596.0999756,1687.349976,928.5,310.5499878,517.2750244,1001.650024,1067.800049,25110.44922,911.5499878,307.0499878,1327.324951,33812.75
02-01-2018,668.0800171,559.7000122,1722.099976,181.1999969,4581.799805,278.5499878,1079.199951,772.9500122,185.3250427,592.7999878,1702.050049,936.3499756,309.25,514.75,1002.599976,1098.849976,24432.84961,911.4000244,302.8999939,1316.875,33812.26172
03-01-2018,656.5999756,560.3499756,1714.25,181.0500031,4581.700195,279.4500122,1098.199951,772.4500122,184.1437988,591.8499756,1700.900024,926.3250122,315.0499878,509.5499878,1000.049988,1131.550049,24563.59961,916.3499756,302.8500061,1317.599976,33793.37891
04-01-2018,648,559.2999878,1753.349976,180,4625.25,282.8999939,1103.150024,787.75,185.9625397,589.4000244,1705.5,928.6500244,314.7999878,507.6499939,1000.299988,1138.050049,24522.30078,920.25,308.0499878,1324.900024,33969.64063
05-01-2018,657.960022,563.0999756,1811.400024,182.1999969,4684.399902,279.1000061,1105.150024,794.2000122,185.3813019,591.5999756,1725.949951,930.2249756,312.6000061,506.0499878,1003.049988,1120.550049,24482.84961,923,306.2000122,1342.224976,34153.85156
08-01-2018,653.8400269,565.3499756,1835.900024,184,4687.299805,274.5,1114.150024,780.4500122,186.5812988,600.4000244,1738.900024,929.8499756,314.1499939,517.8250122,1006.5,1107.849976,24413.5,928.4500122,305.6499939,1353.875,34352.78906
09-01-2018,677.6799927,565.1500244,1817.849976,182.5,4584.450195,275.8500061,1089.800049,793.9000244,187.5937958,600.6500244,1735.550049,931.7750244,312.1499939,520.6500244,1006.349976,1092.849976,24214.19922,940.9000244,304.25,1354.224976,34443.19141
10-01-2018,669.1599731,562.5499878,1800.699951,179.8500061,4587.549805,271.1499939,1080.599976,784.4000244,186.0750427,617.25,1725.349976,931.25,312,525.7999878,1001.75,1076.099976,22969.84961,941.5,301.0499878,1403.550049,34433.07031
11-01-2018,674.2399902,558.25,1781.699951,179,4659.350098,271.2999878,1098.699951,811.5,185.5688019,627,1740.800049,935.0499878,309.4500122,537.7999878,1017.849976,1060.050049,23065.65039,937.2000122,302,1394.199951,34503.48828
12-01-2018,667.2800293,555.75,1769.949951,178.0500031,4737.899902,271.9500122,1090.150024,811,187.4250488,625.8499756,1761.25,932.8250122,317.6000061,539.2000122,1019.400024,1043.75,22607.25,946.75,301.7999878,1386.449951,34592.39063
