,Symbol,Date,Expiry,Strike Price,Call Price,Stock Price,Put Price
0,KOTAKBANK,05-Apr-2022,28-Apr-2022,1540.0,269.35,1802.2,1.8
1,KOTAKBANK,05-Apr-2022,28-Apr-2022,2120.0,3.75,1802.2,316.1
2,KOTAKBANK,05-Apr-2022,28-Apr-2022,1840.0,39.15,1802.2,69.8
3,KOTAKBANK,05-Apr-2022,28-Apr-2022,1360.0,445.75,1802.2,0.1
4,KOTAKBANK,05-Apr-2022,28-Apr-2022,1920.0,16.35,1802.2,141.4
5,KOTAKBANK,05-Apr-2022,28-Apr-2022,1440.0,366.35,1802.2,0.5
6,KOTAKBANK,05-Apr-2022,28-Apr-2022,1420.0,386.15,1802.2,0.3
7,KOTAKBANK,05-Apr-2022,28-Apr-2022,2200.0,1.6,1802.2,393.6
8,KOTAKBANK,05-Apr-2022,28-Apr-2022,1740.0,90.3,1802.2,25.3
9,KOTAKBANK,05-Apr-2022,28-Apr-2022,2140.0,2.2,1802.2,335.3
10,KOTAKBANK,05-Apr-2022,28-Apr-2022,1380.0,425.85,1802.2,0.15
11,KOTAKBANK,05-Apr-2022,28-Apr-2022,2520.0,0.05,1802.2,711.4
12,KOTAKBANK,05-Apr-2022,28-Apr-2022,2160.0,2.35,1802.2,354.6
13,KOTAKBANK,05-Apr-2022,28-Apr-2022,2280.0,0.5,1802.2,472.45
14,KOTAKBANK,05-Apr-2022,28-Apr-2022,1460.0,346.65,1802.2,0.75
15,KOTAKBANK,05-Apr-2022,28-Apr-2022,1580.0,232.25,1802.2,2.9
16,KOTAKBANK,05-Apr-2022,28-Apr-2022,2020.0,5.6,1802.2,223.75
17,KOTAKBANK,05-Apr-2022,28-Apr-2022,2380.0,0.15,1802.2,571.85
18,KOTAKBANK,05-Apr-2022,28-Apr-2022,1960.0,10.6,1802.2,172.65
19,KOTAKBANK,05-Apr-2022,28-Apr-2022,1760.0,77.95,1802.2,31.65
20,KOTAKBANK,05-Apr-2022,28-Apr-2022,1980.0,8.45,1802.2,189.2
21,KOTAKBANK,05-Apr-2022,28-Apr-2022,2420.0,0.1,1802.2,611.7
22,KOTAKBANK,05-Apr-2022,28-Apr-2022,1860.0,31.45,1802.2,84.35
23,KOTAKBANK,05-Apr-2022,28-Apr-2022,2340.0,0.25,1802.2,532.05
24,KOTAKBANK,05-Apr-2022,28-Apr-2022,1940.0,13.0,1802.2,156.7
25,KOTAKBANK,05-Apr-2022,28-Apr-2022,2480.0,0.05,1802.2,671.5
26,KOTAKBANK,05-Apr-2022,28-Apr-2022,2220.0,1.1,1802.2,413.2
27,KOTAKBANK,05-Apr-2022,28-Apr-2022,2440.0,0.05,1802.2,631.6
28,KOTAKBANK,05-Apr-2022,28-Apr-2022,2320.0,0.3,1802.2,512.15
29,KOTAKBANK,05-Apr-2022,28-Apr-2022,2180.0,1.85,1802.2,374.05
30,KOTAKBANK,05-Apr-2022,28-Apr-2022,1600.0,214.0,1802.2,3.9
31,KOTAKBANK,05-Apr-2022,28-Apr-2022,1660.0,163.65,1802.2,8.7
32,KOTAKBANK,05-Apr-2022,28-Apr-2022,1820.0,47.3,1802.2,58.1
33,KOTAKBANK,05-Apr-2022,28-Apr-2022,1480.0,327.1,1802.2,1.1
34,KOTAKBANK,05-Apr-2022,28-Apr-2022,1340.0,465.7,1802.2,0.05
35,KOTAKBANK,05-Apr-2022,28-Apr-2022,2060.0,3.95,1802.2,259.85
36,KOTAKBANK,05-Apr-2022,28-Apr-2022,1900.0,20.55,1802.2,111.4
37,KOTAKBANK,05-Apr-2022,28-Apr-2022,2400.0,0.1,1802.2,591.75
38,KOTAKBANK,05-Apr-2022,28-Apr-2022,2300.0,0.4,1802.2,492.3
39,KOTAKBANK,05-Apr-2022,28-Apr-2022,2240.0,0.85,1802.2,432.9
40,KOTAKBANK,05-Apr-2022,28-Apr-2022,1720.0,104.25,1802.2,20.6
41,KOTAKBANK,05-Apr-2022,28-Apr-2022,1400.0,406.0,1802.2,0.95
42,KOTAKBANK,05-Apr-2022,28-Apr-2022,2000.0,7.1,1802.2,203.2
43,KOTAKBANK,05-Apr-2022,28-Apr-2022,2360.0,0.2,1802.2,551.95
44,KOTAKBANK,05-Apr-2022,28-Apr-2022,2080.0,5.9,1802.2,278.35
45,KOTAKBANK,05-Apr-2022,28-Apr-2022,1680.0,135.6,1802.2,11.7
46,KOTAKBANK,05-Apr-2022,28-Apr-2022,1640.0,179.9,1802.2,6.75
47,KOTAKBANK,05-Apr-2022,28-Apr-2022,1800.0,56.0,1802.2,49.1
48,KOTAKBANK,05-Apr-2022,28-Apr-2022,2100.0,3.0,1802.2,297.1
49,KOTAKBANK,05-Apr-2022,28-Apr-2022,1780.0,67.2,1802.2,40.15
50,KOTAKBANK,05-Apr-2022,28-Apr-2022,1500.0,307.65,1802.2,1.3
51,KOTAKBANK,05-Apr-2022,28-Apr-2022,1560.0,250.6,1802.2,2.25
52,KOTAKBANK,05-Apr-2022,28-Apr-2022,2460.0,0.05,1802.2,651.55
53,KOTAKBANK,05-Apr-2022,28-Apr-2022,1700.0,119.4,1802.2,15.55
54,KOTAKBANK,05-Apr-2022,28-Apr-2022,2040.0,4.8,1802.2,241.6
55,KOTAKBANK,05-Apr-2022,28-Apr-2022,2500.0,0.05,1802.2,691.45
56,KOTAKBANK,05-Apr-2022,28-Apr-2022,1620.0,196.8,1802.2,5.05
57,KOTAKBANK,05-Apr-2022,28-Apr-2022,1520.0,288.35,1802.2,1.65
58,KOTAKBANK,05-Apr-2022,28-Apr-2022,2260.0,0.65,1802.2,452.65
59,KOTAKBANK,05-Apr-2022,28-Apr-2022,1880.0,25.45,1802.2,100.0
60,KOTAKBANK,05-Apr-2022,26-May-2022,1840.0,90.4,1802.2,117.45
61,KOTAKBANK,05-Apr-2022,26-May-2022,2300.0,5.8,1802.2,490.1
62,KOTAKBANK,05-Apr-2022,26-May-2022,1580.0,252.95,1802.2,21.5
63,KOTAKBANK,05-Apr-2022,26-May-2022,1520.0,303.45,1802.2,12.4
64,KOTAKBANK,05-Apr-2022,26-May-2022,2320.0,5.0,1802.2,509.25
65,KOTAKBANK,05-Apr-2022,26-May-2022,2080.0,24.65,1802.2,290.3
66,KOTAKBANK,05-Apr-2022,26-May-2022,1620.0,221.6,1802.2,29.9
67,KOTAKBANK,05-Apr-2022,26-May-2022,2060.0,27.85,1802.2,273.55
68,KOTAKBANK,05-Apr-2022,26-May-2022,1460.0,357.3,1802.2,6.55
69,KOTAKBANK,05-Apr-2022,26-May-2022,1680.0,178.55,1802.2,46.5
70,KOTAKBANK,05-Apr-2022,26-May-2022,1780.0,118.8,1802.2,86.2
71,KOTAKBANK,05-Apr-2022,26-May-2022,2240.0,8.8,1802.2,433.45
72,KOTAKBANK,05-Apr-2022,26-May-2022,1980.0,44.1,1802.2,210.3
73,KOTAKBANK,05-Apr-2022,26-May-2022,1380.0,432.7,1802.2,2.45
74,KOTAKBANK,05-Apr-2022,26-May-2022,1720.0,152.8,1802.2,60.5
75,KOTAKBANK,05-Apr-2022,26-May-2022,2220.0,10.05,1802.2,414.85
76,KOTAKBANK,05-Apr-2022,26-May-2022,1500.0,321.1,1802.2,10.1
77,KOTAKBANK,05-Apr-2022,26-May-2022,1740.0,140.85,1802.2,68.45
78,KOTAKBANK,05-Apr-2022,26-May-2022,2280.0,6.65,1802.2,471.1
79,KOTAKBANK,05-Apr-2022,26-May-2022,2260.0,7.65,1802.2,452.2
80,KOTAKBANK,05-Apr-2022,26-May-2022,2400.0,2.8,1802.2,586.55
81,KOTAKBANK,05-Apr-2022,26-May-2022,1760.0,129.5,1802.2,77.0
82,KOTAKBANK,05-Apr-2022,26-May-2022,1600.0,237.05,1802.2,18.35
83,KOTAKBANK,05-Apr-2022,26-May-2022,1860.0,82.15,1802.2,129.05
84,KOTAKBANK,05-Apr-2022,26-May-2022,2140.0,17.0,1802.2,342.25
85,KOTAKBANK,05-Apr-2022,26-May-2022,1940.0,54.7,1802.2,181.15
86,KOTAKBANK,05-Apr-2022,26-May-2022,1660.0,192.4,1802.2,40.45
87,KOTAKBANK,05-Apr-2022,26-May-2022,2020.0,35.15,1802.2,241.15
88,KOTAKBANK,05-Apr-2022,26-May-2022,2160.0,14.95,1802.2,360.1
89,KOTAKBANK,05-Apr-2022,26-May-2022,2000.0,28.2,1802.2,225.55
90,KOTAKBANK,05-Apr-2022,26-May-2022,1880.0,74.45,1802.2,141.25
